Language,Sentences,DEPTH (Real),DEPTH (Random),DEPTH Gap (Random−Real),DEPTH Random Higher (%),AVG_DEPTH (Real),AVG_DEPTH (Random),AVG_DEPTH Gap (Random−Real),AVG_DEPTH Random Higher (%),ARITY (Real),ARITY (Random),ARITY Gap (Random−Real),ARITY Random Higher (%),ENTROPY (Real),ENTROPY (Random),ENTROPY Gap (Random−Real),ENTROPY Random Higher (%),DL (Real),DL (Random),DL Gap (Random−Real),DL Random Higher (%),IC (Real),IC (Random),IC Gap (Random−Real),IC Random Higher (%),WIC (Real),WIC (Random),WIC Gap (Random−Real),WIC Random Higher (%),PIC (Real),PIC (Random),PIC Gap (Real−Random),PIC Real Higher (%),LCA (Real),LCA (Random),LCA Gap (Random−Real),LCA Random Higher (%)
Arabic,5979,10.981,12.338,1.356,67.302,5.892,6.882,0.99,73.574,4.125,3.346,-0.779,31.176,1.188,1.181,-0.006,38.284,3.153,12.809,9.656,98.863,1.128,7.289,6.161,99.632,1.627,11.207,9.58,99.783,9.755,9.433,0.322,58.304,1.991,2.838,0.847,74.611
Spanish,14182,8.538,10.52,1.982,83.416,4.56,5.957,1.398,91.01,4.259,3.216,-1.043,11.218,1.224,1.177,-0.047,18.34,2.764,9.32,6.555,99.506,0.768,5.088,4.32,99.626,1.162,7.724,6.562,99.781,8.494,7.62,0.874,91.99,1.194,2.369,1.176,90.798
Japanese,7045,9.495,9.734,0.239,57.729,5.243,5.551,0.308,66.529,3.704,3.101,-0.603,33.868,1.144,1.155,0.011,46.771,2.07,8.301,6.231,99.645,0.482,4.444,3.962,100.0,0.64,6.716,6.076,100.0,7.15,6.868,0.283,58.836,1.822,2.158,0.336,69.028
French,14448,7.766,9.989,2.223,88.469,4.209,5.686,1.477,94.809,4.482,3.155,-1.328,7.025,1.209,1.169,-0.039,22.273,2.699,8.518,5.82,99.799,0.693,4.576,3.883,99.952,1.068,6.922,5.854,99.917,8.089,7.095,0.994,95.259,1.023,2.232,1.209,94.172
Chinese,3997,7.129,10.106,2.977,93.495,3.99,5.746,1.756,96.397,4.583,3.185,-1.398,8.682,1.207,1.178,-0.03,27.12,3.469,8.559,5.09,99.75,1.123,4.603,3.48,99.875,1.68,6.964,5.284,99.925,7.926,7.195,0.731,85.414,0.88,2.264,1.384,95.747
Italian,12871,7.32,9.004,1.684,84.951,4.009,5.177,1.168,92.961,4.18,2.971,-1.209,8.399,1.163,1.129,-0.034,24.279,2.618,7.465,4.847,97.421,0.66,3.917,3.257,99.612,1.005,5.906,4.9,99.674,7.035,6.174,0.862,94.134,0.974,1.964,0.991,93.07
Hindi,13304,8.305,9.269,0.964,71.069,4.555,5.316,0.761,80.78,3.989,3.083,-0.906,20.159,1.157,1.161,0.004,45.212,2.83,7.375,4.545,99.887,0.97,3.857,2.887,99.94,1.326,5.787,4.461,99.977,6.785,6.383,0.402,71.362,1.333,2.043,0.709,82.186
English,11400,6.564,8.09,1.526,82.746,3.677,4.705,1.028,89.982,4.285,2.822,-1.463,7.57,1.107,1.098,-0.01,32.57,2.658,6.264,3.606,94.035,0.615,3.159,2.544,98.842,0.95,4.716,3.766,99.184,6.216,5.295,0.921,92.0,0.885,1.72,0.835,89.763
German,13771,6.382,8.646,2.264,93.465,3.624,4.995,1.371,97.393,4.409,2.974,-1.435,4.902,1.165,1.14,-0.025,30.739,3.191,6.703,3.511,98.707,0.873,3.436,2.562,99.564,1.334,5.129,3.795,99.724,6.767,5.8,0.967,96.522,0.778,1.873,1.095,96.732
Russian,69047,6.071,8.068,1.997,91.19,3.482,4.694,1.213,95.854,4.283,2.845,-1.438,5.395,1.108,1.108,-0.0,37.947,2.666,6.144,3.478,97.145,0.622,3.082,2.46,98.886,0.945,4.591,3.646,99.138,6.185,5.263,0.922,95.36,0.758,1.716,0.957,95.066
