Language,Depth gap,Random deeper %,Real max arity,Random max arity
chinese,2.9654240680510386,93.2449337002752,4.582687015261446,3.190442832124093
german,2.26568150461114,93.53714327209353,4.409193232154528,2.9759893980103116
french,2.2137977574750827,88.55204872646733,4.48235049833887,3.1546546234772976
russian,1.9957087201471464,91.323301519255,4.283444610193057,2.8455465117963126
spanish,1.989486673247779,83.4579043858412,4.259060781272035,3.213982513044705
italian,1.6873591795509284,84.79527620231528,4.180017092688991,2.970670499572683
english,1.5191008771929824,82.25438596491227,4.284649122807018,2.8249649122807017
arabic,1.3631710988459609,67.11824719852818,4.125271784579361,3.3419635390533533
hindi,0.9661079374624173,71.22669873722188,3.989101022248948,3.0785139807576667
japanese,0.24418736692689855,57.686302342086584,3.7040454222853088,3.101568488289567
