length,real_depth,random_depth,real_max_arity,random_max_arity
19,9,9.5,4,3.1
17,7,9.1,3,2.9
34,11,12.75,5,3.55
8,3,5.05,4,2.45
18,9,8.9,3,3.2
5,3,3.75,3,2.0
56,13,17.15,5,3.85
16,8,7.35,3,3.05
9,4,5.75,4,2.4
8,3,5.55,5,2.45
20,4,9.8,8,3.2
27,10,11.2,5,3.6
10,6,5.95,3,2.3
37,7,13.4,5,3.75
21,7,9.8,3,2.95
16,6,8.6,4,3.0
17,9,8.0,4,2.9
30,10,11.65,4,3.75
32,10,11.7,5,3.45
24,13,10.05,4,3.05
15,6,7.6,5,2.85
46,7,14.4,10,3.65
32,12,12.15,4,3.15
13,7,7.15,4,2.75
13,4,7.2,5,2.6
26,9,10.1,5,3.25
38,11,12.55,4,3.45
29,8,10.95,4,3.55
11,6,6.45,4,2.65
17,7,7.95,3,2.95
15,6,7.6,5,2.85
15,5,7.6,5,2.95
38,9,12.65,4,3.9
12,5,7.35,4,2.6
11,4,6.6,4,2.65
12,6,6.45,3,2.75
17,8,8.4,5,2.95
20,8,8.6,4,3.1
21,7,8.15,5,3.55
21,7,9.7,5,3.4
18,5,8.4,5,3.15
15,7,7.6,4,2.85
34,12,12.7,4,3.4
20,7,9.2,6,3.1
8,4,5.25,3,2.35
10,4,6.0,4,2.35
27,8,11.05,4,3.35
11,7,6.55,3,2.75
27,9,11.45,4,3.7
29,9,10.95,4,3.45
12,6,6.75,4,2.65
33,9,12.5,6,3.5
14,7,7.8,4,2.7
12,6,6.35,4,2.75
41,14,13.4,4,3.9
17,8,9.4,4,2.6
18,6,8.7,4,2.95
68,11,18.05,5,3.95
34,9,11.6,4,3.65
10,5,5.75,3,2.7
47,11,15.55,6,3.45
29,10,11.5,4,3.6
11,6,6.5,4,2.8
23,6,10.7,6,3.4
6,3,3.85,3,2.35
60,15,15.85,4,3.9
18,6,9.1,4,2.95
57,12,16.65,8,4.2
13,7,7.45,3,2.75
11,5,6.6,4,2.65
50,13,15.55,6,3.7
18,6,8.5,5,3.15
25,9,10.3,5,3.4
26,7,10.65,5,3.45
23,6,10.35,4,3.1
16,8,8.75,4,2.95
11,5,6.45,4,2.65
37,10,12.2,5,3.9
8,3,5.05,6,2.65
35,12,12.3,6,3.6
30,8,11.65,4,3.35
12,3,6.5,8,2.95
44,14,15.1,5,3.35
31,8,12.5,5,3.25
9,5,5.55,4,2.65
76,16,17.8,4,4.1
14,5,7.5,4,2.7
12,4,6.45,4,2.7
38,14,12.5,5,3.3
40,11,13.2,3,3.55
31,10,11.9,4,3.55
20,7,9.75,6,3.05
30,8,11.8,5,3.5
24,8,10.8,4,3.25
33,11,12.45,6,3.4
42,12,13.8,4,3.5
11,7,6.45,3,2.7
18,7,9.4,6,3.1
28,10,11.85,5,3.15
22,8,8.75,3,3.3
27,7,10.7,6,3.4
36,16,13.1,5,3.4
46,18,15.6,5,3.6
49,12,15.1,6,3.9
47,16,13.45,7,3.75
19,7,9.0,4,2.95
61,15,17.05,4,3.75
22,8,10.0,4,3.4
20,8,9.95,4,3.15
14,4,7.45,7,2.65
18,5,9.0,4,2.9
5,3,3.7,3,2.1
21,6,9.65,5,3.3
56,10,17.55,7,3.8
21,9,9.4,3,3.15
21,10,8.9,4,3.25
17,6,8.05,4,3.3
20,6,8.75,5,3.15
23,9,9.7,4,3.2
14,6,7.75,4,2.85
30,9,12.3,5,3.2
43,9,13.4,11,3.55
29,8,11.4,5,3.3
36,11,13.1,5,3.4
63,13,18.65,5,3.85
19,8,8.8,4,3.05
10,5,5.85,3,2.8
18,8,8.65,4,3.1
39,13,12.8,3,3.35
19,5,9.3,4,2.85
12,6,6.55,4,2.7
24,10,10.0,3,3.35
20,5,9.45,7,3.0
35,7,11.9,6,3.65
46,8,16.2,4,3.8
13,6,6.9,3,2.9
20,8,8.6,4,3.3
22,8,9.65,5,3.15
20,6,8.95,5,3.0
39,9,13.55,5,3.35
27,6,11.1,5,3.35
26,10,10.4,5,3.5
5,3,3.65,3,2.2
30,9,11.7,4,3.3
27,10,11.9,4,3.35
31,9,10.6,4,3.6
36,9,12.9,5,3.55
17,5,8.25,5,2.95
19,6,8.55,4,3.1
21,6,10.4,6,2.8
16,8,7.65,4,3.05
10,3,6.1,4,2.55
22,8,9.15,5,3.25
19,8,8.65,3,3.1
22,7,10.1,5,3.35
27,8,11.15,4,3.1
71,12,17.15,6,4.35
9,5,5.85,3,2.5
38,10,13.2,4,3.75
45,11,14.95,5,3.75
27,11,11.15,3,3.45
22,7,9.35,4,3.3
39,8,14.05,9,3.55
19,4,8.2,6,3.3
18,9,8.4,3,3.15
28,8,11.2,6,3.1
21,7,9.55,5,3.1
18,7,8.8,3,2.85
3,2,2.6,2,1.4
50,10,15.4,5,3.85
75,11,20.45,6,3.8
10,6,5.7,4,2.8
33,9,12.4,5,3.45
17,6,8.8,5,3.25
48,8,14.8,6,3.85
31,10,11.8,3,3.55
20,10,9.05,4,3.3
4,3,3.4,2,1.6
6,3,4.2,3,2.2
15,6,8.15,3,2.85
56,13,16.35,5,3.95
25,8,10.25,4,2.95
12,4,6.3,4,2.8
13,5,7.0,5,2.85
24,10,10.15,4,3.45
50,17,16.25,4,3.7
24,9,10.5,4,3.5
43,15,13.95,4,3.9
40,10,12.9,5,3.55
18,5,8.45,4,2.95
60,15,17.9,4,3.65
30,8,11.1,6,3.5
17,8,8.75,3,3.15
23,6,9.8,5,3.35
28,13,11.35,5,3.2
37,10,14.3,3,3.6
38,8,13.85,5,3.55
22,7,9.25,5,3.15
20,7,9.25,5,2.9
23,6,10.45,4,3.3
38,14,13.1,5,3.4
5,3,3.65,3,2.25
20,6,9.0,5,3.2
8,3,5.15,3,2.25
12,7,6.95,4,2.55
33,11,12.6,5,3.35
23,9,9.1,5,3.25
17,8,7.75,3,2.75
20,5,9.05,5,3.05
38,11,14.05,5,3.3
6,3,4.65,3,1.95
22,8,9.25,4,3.35
18,6,9.05,5,2.9
27,7,10.3,6,3.35
42,10,14.7,5,3.6
9,4,5.75,4,2.75
12,5,6.75,3,2.9
20,8,9.15,5,3.2
9,5,5.85,4,2.4
16,5,7.4,5,3.05
42,10,16.15,5,3.45
44,11,14.7,6,3.5
50,9,14.6,5,3.7
42,9,12.25,4,4.1
32,10,12.15,4,3.5
33,10,12.5,4,3.35
15,7,8.3,7,2.85
28,11,10.8,4,3.55
24,7,10.15,5,3.4
18,8,9.25,4,3.1
7,3,4.7,4,2.25
47,9,14.85,7,3.95
17,7,8.15,5,3.1
22,6,9.95,4,3.4
31,7,11.35,4,3.4
46,8,14.75,6,4.0
19,9,8.8,4,3.15
20,6,8.65,5,3.25
23,12,10.0,3,3.15
24,7,10.3,5,3.25
48,7,16.05,8,3.75
15,8,7.45,3,2.75
28,9,10.15,5,3.35
66,17,18.05,6,3.95
37,9,12.85,4,3.75
9,4,5.65,4,2.55
30,9,12.25,5,3.65
44,13,15.15,7,3.75
17,6,8.7,5,3.2
9,4,5.8,3,2.4
43,11,15.25,7,3.85
