length,real_depth,random_depth,real_max_arity,random_max_arity
16,4,7.5,6,3.2
9,4,5.9,5,2.55
5,3,4.2,2,1.7
29,6,11.75,6,3.65
20,7,9.8,5,2.8
28,8,13.0,5,3.25
19,5,8.65,6,3.25
24,8,9.35,7,3.1
19,6,8.75,6,2.95
12,3,6.9,5,2.65
22,6,8.9,5,3.5
12,5,6.5,3,2.65
11,6,7.0,3,2.55
23,8,10.05,5,3.6
25,5,10.05,5,3.25
40,9,14.5,6,3.6
8,3,5.5,4,2.2
28,6,11.5,5,3.2
18,10,8.7,3,3.1
8,4,5.15,3,2.5
11,4,6.7,3,2.4
14,4,7.85,4,2.9
3,2,2.6,2,1.4
10,6,6.0,3,2.55
8,4,5.25,3,2.4
10,6,6.1,3,2.6
11,5,6.8,5,2.6
21,7,9.75,4,3.0
7,4,5.05,2,2.25
6,4,4.05,3,2.25
17,6,7.9,4,3.35
20,5,9.2,8,3.2
28,7,11.65,7,3.45
11,5,6.7,3,2.45
11,5,6.3,3,2.6
16,5,8.55,5,2.55
16,5,8.3,5,3.0
20,6,9.45,5,3.35
14,6,7.25,4,3.0
10,4,5.5,4,2.8
29,9,11.55,4,3.25
24,8,9.9,6,3.15
13,5,7.0,4,2.85
9,5,5.8,4,2.45
23,7,9.55,4,3.15
5,3,4.25,3,1.65
30,7,11.95,5,3.5
24,7,9.65,6,3.4
6,3,4.3,3,1.95
7,2,5.15,6,2.25
8,4,4.9,3,2.65
8,4,5.4,4,2.45
13,6,7.35,5,2.6
4,2,3.35,3,1.65
12,5,6.65,4,2.5
14,7,7.65,4,2.85
8,5,5.4,3,2.5
9,3,6.1,5,2.2
14,6,6.75,4,2.9
19,6,8.75,4,3.0
15,6,7.7,5,2.8
7,3,4.8,4,2.35
16,5,8.65,5,2.75
17,4,8.45,5,2.8
16,7,7.75,4,2.9
14,4,7.7,4,2.6
24,6,10.1,5,3.1
16,7,7.1,5,3.3
10,4,5.05,6,3.0
22,11,10.25,3,3.35
35,8,12.6,7,3.3
9,5,5.5,3,2.6
15,5,7.95,5,2.65
22,7,9.7,5,3.05
21,7,9.65,5,3.05
5,2,3.8,4,1.9
6,4,4.75,3,1.95
18,6,8.9,4,2.95
8,3,5.45,3,2.25
9,5,5.7,4,2.65
14,4,7.0,5,2.65
12,4,6.7,5,2.7
11,5,5.9,3,2.7
5,4,4.05,2,1.7
13,7,6.85,4,2.85
