length,real_depth,real_avg_depth,real_arity,real_entropy,real_dl,real_ic,real_wic,real_pic,real_lca,random_depth,random_avg_depth,random_arity,random_entropy,random_dl,random_ic,random_wic,random_pic,random_lca
16,4,2.6875,6,1.0373923246209082,3.0,0.3333333333333333,0.9333333333333333,7.341666666666667,0.275,8.25,4.934375,2.7,1.1470320868305048,5.67,2.9833333333333334,4.13,5.045416666666666,1.9420833333333334
9,4,2.3333333333333335,5,0.936888307539016,2.125,0.25,0.25,4.055555555555555,0.1388888888888889,5.6,3.4166666666666665,2.6,1.1005832360826855,3.375,1.10625,1.625,2.998611111111111,1.0555555555555558
5,3,2.2,2,0.6730116670092565,1.75,0.0,0.0,1.6,0.3,3.85,2.55,1.95,0.9421821183948149,2.025,0.6125,0.7,1.3350000000000004,0.6100000000000001
29,6,3.6551724137931036,6,1.2278665825104642,3.7142857142857144,1.0714285714285714,1.8928571428571428,9.672413793103448,0.4236453201970443,11.15,6.2379310344827585,3.5,1.2230048370642614,10.548214285714286,5.439285714285715,8.000000000000002,8.46256157635468,2.477093596059113
20,7,3.75,5,1.26100156517892,2.8947368421052633,0.631578947368421,0.8947368421052632,7.7105263157894735,0.8157894736842105,9.7,5.577499999999999,3.2,1.1863975071064687,6.739473684210526,3.5421052631578944,5.215789473684211,6.297894736842106,2.286315789473684
28,8,4.571428571428571,5,1.2499623088358849,3.4074074074074074,0.7407407407407407,1.3333333333333333,10.436507936507937,0.9920634920634921,11.6,6.325000000000001,3.4,1.236614004093335,9.86111111111111,5.0962962962962965,7.890740740740739,8.3239417989418,2.5591269841269835
19,5,3.0,6,1.0102099474266797,3.388888888888889,0.8333333333333334,1.1666666666666667,8.368421052631579,0.4678362573099415,9.4,5.389473684210526,2.85,1.1433297202436927,6.866666666666669,3.775000000000001,5.175,5.912865497076024,2.1558479532163743
24,8,4.333333333333333,7,1.2223576364458604,3.0869565217391304,0.7391304347826086,0.9565217391304348,9.039855072463768,1.1340579710144927,10.35,5.93125,3.15,1.19592690808962,7.891304347826089,4.728260869565217,6.899999999999999,7.322101449275363,2.411413043478261
19,6,3.210526315789474,6,1.1285962936622183,3.611111111111111,0.7777777777777778,1.2777777777777777,7.976608187134503,0.5029239766081871,8.9,5.042105263157895,3.05,1.1867013010967606,6.580555555555554,3.425,5.072222222222222,6.060526315789474,1.8219298245614035
12,3,2.4166666666666665,5,0.7214636866925115,2.6363636363636362,0.09090909090909091,0.45454545454545453,6.136363636363637,0.24242424242424243,6.55,3.8833333333333337,2.85,1.1057586043858871,4.459090909090909,1.7590909090909086,2.9045454545454548,4.116666666666666,1.2575757575757573
22,6,3.727272727272727,5,1.270761159310144,4.190476190476191,1.0476190476190477,2.0952380952380953,8.03896103896104,0.6536796536796536,10.25,5.761363636363636,3.1,1.1668434554620015,8.002380952380953,3.911904761904762,5.921428571428572,6.718831168831168,2.3450216450216455
12,5,3.0833333333333335,3,1.1988493129136213,3.727272727272727,1.0909090909090908,1.6363636363636365,4.333333333333333,0.5909090909090909,6.7,4.075,2.85,1.1234219524017437,4.413636363636363,1.959090909090909,2.7500000000000004,3.996212121212122,1.459090909090909
11,6,3.3636363636363638,3,1.1209503926735833,2.9,0.7,1.2,3.963636363636364,0.9090909090909091,6.7,4.031818181818182,2.6,1.06627791045926,4.074999999999999,1.8399999999999999,2.505,3.5981818181818186,1.4636363636363634
23,8,4.304347826086956,5,1.241074636859421,4.954545454545454,1.8636363636363635,2.909090909090909,7.901185770750988,1.4624505928853755,9.2,5.408695652173914,3.3,1.203314688324102,8.13409090909091,3.8454545454545452,6.1,6.821739130434783,2.061660079051383
25,5,3.28,5,1.297389524725291,3.375,0.8333333333333334,1.2916666666666667,8.65,0.38,10.75,6.2219999999999995,3.3,1.1990253010414462,8.489583333333334,4.66875,6.789583333333333,7.523666666666666,2.679333333333333
40,9,4.925,6,1.2773971844042151,3.4615384615384617,0.717948717948718,1.4871794871794872,12.616666666666667,1.0974358974358975,13.75,7.727499999999999,3.4,1.2344478538381216,13.598717948717947,7.3320512820512835,11.394871794871793,10.657564102564104,3.4091666666666667
8,3,2.375,4,0.7356219397587946,2.5714285714285716,0.14285714285714285,0.5714285714285714,3.75,0.35714285714285715,5.6,3.41875,2.2,0.9505880289913057,2.9428571428571426,1.0857142857142859,1.4714285714285713,2.4946428571428574,1.126785714285714
28,6,3.857142857142857,5,1.2340755347894912,4.222222222222222,1.037037037037037,2.037037037037037,9.738095238095237,0.5687830687830688,11.7,6.5,3.35,1.2164251267921375,9.105555555555554,5.21111111111111,8.05,8.391402116402116,2.7611111111111115
18,10,5.333333333333333,3,1.2589910288554198,4.117647058823529,1.588235294117647,2.4705882352941178,6.032679738562091,2.183006535947712,8.7,5.041666666666668,3.05,1.1751869359911773,6.661764705882353,3.355882352941177,4.805882352941176,5.841176470588235,1.872549019607843
