length,real_depth,random_depth,real_max_arity,random_max_arity
11,8,6.3,2,2.95
7,4,4.9,3,2.25
7,3,5.1,3,2.25
17,5,8.0,4,2.95
6,3,4.8,4,2.05
16,7,9.15,3,2.75
28,11,10.95,5,3.55
10,6,6.4,3,2.5
8,4,5.35,3,2.5
13,6,7.05,3,2.75
8,4,5.25,3,2.3
20,11,9.1,3,3.25
39,13,12.95,5,3.35
18,8,8.35,3,3.2
19,8,8.6,3,3.1
26,11,11.3,4,3.35
16,6,8.3,4,3.05
18,11,9.15,3,3.05
20,9,9.1,3,3.3
17,8,8.15,3,3.2
7,4,5.1,3,2.25
7,5,4.45,3,2.7
26,12,10.4,3,3.4
18,8,8.85,3,3.0
12,8,6.55,3,2.5
7,5,4.7,3,2.45
20,11,9.05,3,3.15
21,9,10.2,3,3.0
17,10,7.45,3,3.6
16,6,8.6,3,3.0
15,8,8.0,3,2.65
16,8,7.95,3,3.15
14,6,7.05,2,2.95
24,7,10.35,6,3.45
12,5,6.6,3,2.7
12,5,6.3,3,3.0
11,7,6.35,2,2.45
3,2,2.6,2,1.4
15,8,7.95,4,2.75
10,6,6.35,3,2.4
17,8,8.4,4,3.25
26,14,10.75,3,3.6
15,5,7.85,3,2.9
3,2,2.7,2,1.3
10,5,6.15,3,2.55
32,10,13.3,4,3.2
17,9,8.55,3,3.0
19,8,9.3,3,2.9
15,6,7.6,3,2.8
18,6,8.4,6,3.1
10,5,6.45,3,2.35
14,7,7.1,2,3.2
18,7,9.5,3,2.95
19,8,9.5,3,3.05
25,8,9.65,4,3.55
15,7,7.2,3,3.15
13,6,7.2,4,2.6
14,7,7.75,3,2.85
14,7,7.3,4,2.95
20,6,9.05,3,2.9
12,5,7.05,4,2.65
13,8,7.25,3,2.65
20,7,8.85,3,3.1
13,5,7.2,3,2.65
9,4,6.0,3,2.45
18,8,9.4,4,3.35
8,5,5.05,3,2.7
21,7,9.15,4,3.2
11,7,6.35,3,2.55
13,7,7.15,3,2.75
12,8,7.35,3,2.7
12,8,7.6,2,2.45
15,9,7.9,3,2.9
24,14,10.7,3,3.1
29,15,11.35,4,3.65
16,7,7.85,3,3.05
13,8,7.35,4,2.75
16,7,7.75,3,2.9
21,9,9.9,3,3.2
13,9,6.75,2,3.05
30,8,12.5,5,3.5
12,6,6.85,3,2.95
14,6,6.9,4,3.0
19,9,9.1,3,2.9
21,10,9.85,3,3.05
23,7,9.6,4,3.05
3,2,2.7,2,1.3
14,8,7.45,4,2.75
10,5,5.8,3,2.6
28,7,11.05,5,3.45
31,12,12.95,3,3.2
18,6,8.2,4,3.1
24,10,10.2,3,3.35
14,8,7.95,4,2.8
11,7,6.7,2,2.55
28,14,11.05,5,3.15
22,9,9.7,3,3.05
9,5,5.75,3,2.5
15,7,7.35,3,2.9
14,6,7.65,5,2.7
11,5,6.6,3,2.75
16,5,8.1,5,3.25
12,5,6.95,5,2.65
12,7,7.3,3,2.6
12,5,6.55,5,2.75
11,5,6.6,4,2.6
11,4,6.15,5,2.7
21,7,10.3,6,3.1
12,6,7.2,3,2.55
20,6,9.55,6,3.3
12,7,7.05,4,2.6
14,5,7.3,4,3.0
24,9,10.2,4,3.2
8,4,5.25,5,2.4
22,8,10.4,4,3.0
10,5,6.4,3,2.4
17,4,8.0,5,2.9
17,6,7.8,4,3.2
18,8,8.8,4,3.05
32,8,12.8,5,3.35
10,5,5.7,3,2.5
11,6,6.45,3,2.55
11,6,7.05,3,2.45
15,7,7.9,3,3.0
20,10,8.9,4,3.3
18,7,8.6,3,3.1
16,7,7.75,3,2.95
18,8,8.25,3,2.95
10,6,6.0,2,2.6
11,6,5.55,2,2.65
20,9,8.8,3,3.05
26,8,10.8,3,3.55
17,7,7.75,4,3.2
7,3,4.8,4,2.15
11,5,6.25,4,2.85
10,5,6.15,3,2.7
22,10,9.4,4,3.15
12,7,6.9,3,2.95
10,6,5.95,3,2.65
19,11,9.8,3,2.85
22,10,9.8,3,3.1
13,5,6.95,3,2.9
11,5,6.65,5,2.55
29,11,11.85,3,3.7
11,6,6.2,4,2.75
7,5,4.65,3,2.5
22,6,10.15,6,3.2
24,8,10.0,3,3.1
12,7,6.8,3,2.6
11,7,6.1,2,2.75
17,9,9.1,3,2.8
12,5,6.75,4,2.65
19,9,8.65,3,3.35
14,6,7.7,3,2.85
20,7,8.7,5,2.9
20,7,9.15,3,3.1
15,7,7.6,3,3.2
10,4,5.65,3,2.65
23,7,9.85,7,3.45
10,6,6.35,3,2.6
12,6,6.75,4,2.65
24,9,10.0,4,3.7
19,9,8.3,3,3.2
11,7,6.3,3,2.6
12,7,7.55,3,2.45
13,7,7.0,4,2.85
13,7,6.7,5,2.6
10,6,6.1,4,2.5
14,4,7.4,3,2.8
9,5,5.7,3,2.3
8,3,4.85,4,2.65
18,8,8.05,4,3.2
32,13,11.75,4,3.7
18,9,9.35,3,3.0
17,6,8.7,3,2.9
18,10,8.85,3,2.85
10,8,5.6,2,2.45
16,8,7.85,3,3.1
23,8,9.5,5,2.95
21,8,10.3,5,3.0
13,6,7.35,3,2.8
11,7,7.1,2,2.45
16,7,7.9,4,3.2
14,7,7.85,4,2.6
51,13,17.15,6,3.9
24,7,10.35,5,3.0
16,8,7.85,4,2.7
19,5,9.0,4,2.85
15,5,7.4,3,2.8
12,6,6.5,4,2.7
11,7,6.5,2,2.5
8,4,5.5,3,2.25
16,7,7.8,3,3.0
14,5,7.35,3,2.65
9,4,5.6,3,2.45
23,6,10.15,4,3.15
15,7,7.3,3,3.0
16,6,8.0,3,2.95
9,5,5.75,3,2.35
18,8,8.25,4,3.05
9,5,5.7,3,2.25
13,6,6.55,3,3.05
20,10,9.1,4,3.15
11,6,6.05,3,2.6
10,5,6.2,3,2.5
25,10,10.45,4,3.2
18,8,8.4,3,3.25
10,6,6.3,3,2.35
25,9,10.9,5,2.9
12,6,6.35,3,2.9
15,6,8.05,4,2.7
13,5,7.2,5,2.8
24,12,10.9,4,3.15
20,7,9.15,4,2.95
20,10,9.0,3,3.25
17,5,9.05,3,3.0
14,6,6.85,3,2.8
16,7,7.55,3,3.25
8,4,4.85,4,2.55
13,7,6.6,3,3.1
13,8,7.2,4,2.6
19,8,8.45,5,3.0
18,8,8.15,4,3.3
13,6,7.75,3,2.65
3,2,2.45,2,1.55
13,6,6.95,4,2.75
7,4,5.15,3,2.15
12,5,6.25,3,3.0
11,7,6.35,3,2.65
24,8,10.1,5,3.3
3,2,2.75,2,1.25
14,7,7.7,3,2.7
12,6,7.15,3,2.7
21,8,9.1,4,3.4
24,9,10.05,5,3.3
3,2,2.6,2,1.4
12,6,7.15,4,2.4
13,6,6.85,5,3.0
15,6,7.6,4,3.15
11,5,6.9,3,2.3
10,6,6.1,3,2.6
15,6,8.1,3,2.8
13,7,6.85,3,2.8
19,7,9.2,3,3.15
13,6,6.8,3,2.75
17,9,8.4,3,2.9
13,5,7.25,6,3.0
6,4,4.35,3,2.2
10,6,6.4,3,2.3
9,5,5.4,3,2.65
12,5,7.05,3,2.75
16,5,7.55,5,3.15
15,7,8.3,5,3.1
10,6,5.85,2,2.3
12,4,7.15,4,2.75
14,9,7.3,3,2.75
9,6,5.45,3,2.55
10,4,6.25,4,2.35
15,8,8.0,3,2.8
11,4,5.95,4,3.0
17,10,8.95,3,3.0
19,7,9.1,5,3.25
11,6,6.9,3,2.4
15,7,7.85,4,2.65
21,10,9.9,3,2.9
5,3,3.75,3,2.0
8,4,5.2,3,2.3
14,6,8.05,3,2.7
14,8,7.3,3,2.9
14,6,8.35,4,2.65
13,6,7.45,3,2.55
25,7,9.75,4,3.45
18,9,9.1,3,2.95
8,6,5.35,2,2.6
14,6,8.15,4,2.85
16,7,8.05,4,3.05
12,7,6.4,3,2.8
17,8,8.15,4,2.9
11,6,6.7,3,2.45
12,6,6.65,3,2.95
16,9,8.1,3,2.75
15,5,7.95,3,2.85
13,7,7.5,3,2.6
9,4,5.35,3,2.5
13,6,7.2,4,2.75
3,2,2.65,2,1.35
12,5,7.3,3,2.5
12,6,7.1,3,2.8
17,8,8.5,5,3.1
3,2,2.55,2,1.45
14,9,7.4,3,2.75
8,4,5.3,3,2.45
15,7,8.15,4,2.85
26,10,11.0,4,3.15
3,2,2.8,2,1.2
19,6,9.15,4,3.15
16,8,8.2,3,3.0
17,7,8.55,4,2.95
16,9,7.75,3,2.95
26,11,9.85,3,3.65
16,11,7.9,2,2.9
23,12,10.7,3,3.1
19,7,8.7,3,3.25
13,5,6.7,3,2.9
