length,real_depth,real_avg_depth,real_arity,real_entropy,real_dl,real_ic,real_wic,real_pic,real_lca,random_depth,random_avg_depth,random_arity,random_entropy,random_dl,random_ic,random_wic,random_pic,random_lca
11,8,4.636363636363637,2,0.9949236325717752,1.2,0.1,0.1,3.1818181818181817,1.9090909090909092,6.1,3.622727272727272,2.9,1.147779241634464,4.38,1.7,2.5449999999999995,3.7954545454545454,1.0672727272727274
7,4,2.4285714285714284,3,1.0042424730540764,1.6666666666666667,0.5,0.5,2.4285714285714284,0.23809523809523808,5.2,3.2285714285714286,2.0,0.937935642668517,2.65,0.8083333333333333,1.2333333333333332,2.069047619047619,1.0190476190476192
7,3,2.2857142857142856,3,1.15374194270109,1.5,0.16666666666666666,0.16666666666666666,2.6666666666666665,0.19047619047619047,4.65,2.942857142857143,2.2,0.937935642668517,2.583333333333333,0.8583333333333334,1.15,2.185714285714286,0.7714285714285715
17,5,3.2941176470588234,4,1.2822312894659438,3.8125,1.25,1.9375,5.889705882352941,0.625,7.8,4.570588235294117,2.95,1.1493200916227195,5.7,2.9375,4.390625,5.5253676470588236,1.5459558823529411
6,3,2.0,4,0.8675632284814612,1.6,0.0,0.0,2.6666666666666665,0.06666666666666667,4.2,2.775,2.35,0.961785956481416,2.46,0.56,0.74,1.8866666666666667,0.7599999999999999
16,7,3.625,3,1.2227793161934692,1.8,0.4666666666666667,0.5333333333333333,5.391666666666667,0.575,8.0,4.68125,3.0,1.1507909752397112,5.64,3.0366666666666666,4.073333333333333,5.1608333333333345,1.7100000000000004
28,11,5.785714285714286,5,1.1083830367780911,2.5555555555555554,0.9259259259259259,1.2222222222222223,8.76984126984127,1.6984126984126984,11.85,6.6017857142857155,3.35,1.201302476984689,10.042592592592591,5.385185185185184,7.837037037037035,8.244444444444444,2.8402116402116397
10,6,3.2,3,1.2206072645530173,2.3333333333333335,0.5555555555555556,0.7777777777777778,3.533333333333333,0.7777777777777778,6.1,3.79,2.45,1.0836844166681525,3.694444444444444,1.4277777777777776,2.288888888888889,3.2244444444444453,1.3166666666666664
8,4,2.625,3,1.2130075659799042,2.142857142857143,0.5714285714285714,0.7142857142857143,2.75,0.42857142857142855,5.05,3.20625,2.45,1.0479888535035609,2.9357142857142855,0.957142857142857,1.535714285714286,2.6767857142857148,0.9464285714285715
13,6,3.5384615384615383,3,1.2309316230479224,2.9166666666666665,0.9166666666666666,1.4166666666666667,4.243589743589744,0.9102564102564102,6.85,4.107692307692307,2.9,1.1517016655834744,4.495833333333333,2.0,2.8416666666666672,4.355769230769231,1.4307692307692308
8,4,2.5,3,1.2130075659799042,1.8571428571428572,0.42857142857142855,0.5714285714285714,2.9642857142857144,0.25,5.0,3.1125,2.45,0.9884156695718767,3.1571428571428575,0.9714285714285713,1.3642857142857143,2.585714285714286,0.8232142857142858
