length,real_depth,real_avg_depth,real_arity,real_entropy,real_dl,real_ic,real_wic,real_pic,real_lca,random_depth,random_avg_depth,random_arity,random_entropy,random_dl,random_ic,random_wic,random_pic,random_lca
5,4,2.4,2,1.0549201679861442,2.0,0.5,0.5,1.3,0.4,4.0,2.5700000000000003,1.75,0.8260460880675783,2.0875,0.425,0.6625,1.2900000000000003,0.62
7,4,2.5714285714285716,3,1.15374194270109,1.8333333333333333,0.3333333333333333,0.5,2.5714285714285716,0.42857142857142855,5.2,3.25,2.1,0.9938043575950278,2.608333333333333,0.9916666666666666,1.35,2.069047619047619,1.073809523809524
28,13,7.464285714285714,4,1.2261932058724232,2.5185185185185186,0.7037037037037037,1.037037037037037,9.214285714285714,3.7645502645502646,11.4,6.476785714285714,3.3,1.222039504507162,9.79814814814815,5.246296296296298,8.051851851851854,8.106746031746033,2.7486772486772484
37,10,4.5675675675675675,5,1.2868543073043777,3.2777777777777777,1.1111111111111112,1.5833333333333333,11.273273273273274,0.6771771771771772,13.45,7.716216216216215,3.95,1.2480677419678599,12.756944444444443,7.013888888888888,10.805555555555555,10.185735735735737,3.527102102102102
9,4,2.7777777777777777,3,0.9950269901795212,2.0,0.25,0.5,3.5555555555555554,0.4722222222222222,5.75,3.4833333333333334,2.5,1.06067132861149,3.48125,1.20625,1.775,2.977777777777778,1.1208333333333333
31,8,4.129032258064516,4,1.3190569425134209,3.3666666666666667,1.1666666666666667,1.6333333333333333,9.404301075268817,0.6752688172043011,11.75,6.870967741935483,3.2,1.2076359646021504,10.268333333333334,6.07,8.916666666666664,8.885376344086023,2.9195698924731177
11,5,3.090909090909091,3,1.162225544921092,2.3,0.7,0.8,3.5272727272727273,0.5454545454545454,5.95,3.6409090909090907,2.95,1.1142087939966367,3.6650000000000005,1.49,2.3400000000000007,3.8172727272727274,1.1209090909090906
8,3,2.375,3,0.9002560512685369,1.7142857142857142,0.14285714285714285,0.2857142857142857,3.1785714285714284,0.21428571428571427,5.35,3.2875,2.35,1.0085820158028915,2.942857142857143,1.2142857142857144,1.4928571428571429,2.5410714285714286,0.9785714285714284
17,5,3.235294117647059,4,1.299741799542741,3.5625,1.125,1.8125,6.139705882352941,0.38235294117647056,8.0,4.6,3.2,1.1770326519983745,6.365625,2.909375,4.353125,5.684558823529412,1.5724264705882354
9,6,3.0,4,0.9649629230074277,2.0,0.5,0.5,3.388888888888889,0.5555555555555556,5.85,3.5333333333333328,2.4,1.0774783300640203,3.4375,1.26875,1.71875,2.888888888888889,1.1736111111111112
