length,real_depth,random_depth,real_max_arity,random_max_arity
40,14,13.7,4,3.7
15,8,7.5,3,2.9
31,17,13.15,3,3.3
23,8,9.2,3,3.4
6,5,4.35,2,2.3
28,11,10.1,5,3.25
45,11,14.85,6,3.7
20,10,9.0,4,3.15
13,8,6.4,3,2.8
77,22,17.7,4,4.1
5,4,3.6,2,2.2
8,7,5.3,2,2.15
46,18,14.7,5,3.5
17,11,7.95,2,3.05
33,20,11.9,3,3.4
19,11,8.5,3,2.95
40,13,15.0,6,3.25
22,13,10.4,3,2.9
8,6,5.35,2,2.4
54,14,17.6,5,3.65
20,9,8.8,2,3.35
18,6,8.1,5,2.95
10,5,5.7,5,2.7
57,16,18.55,4,4.0
16,8,8.45,3,2.8
18,9,8.7,3,2.95
49,15,15.15,3,3.55
17,6,8.45,4,3.1
49,7,15.05,11,4.15
4,2,3.55,3,1.45
10,6,5.8,4,2.55
15,8,7.6,2,2.9
59,18,16.9,3,3.9
45,15,15.0,3,3.8
42,11,13.55,4,3.75
10,7,6.2,3,2.4
45,9,13.4,4,3.55
15,8,8.45,3,2.75
7,4,4.8,2,2.35
8,6,5.3,2,2.4
37,15,13.9,3,3.35
30,12,10.7,3,3.5
17,14,8.6,2,3.0
22,8,9.5,4,3.3
15,7,7.65,4,3.15
14,7,7.55,3,3.1
17,5,7.75,5,3.05
28,9,11.5,5,3.35
31,13,13.1,4,3.45
24,5,10.6,5,3.4
29,14,11.45,4,3.15
25,15,9.9,3,3.3
9,4,5.75,3,2.55
8,4,5.2,3,2.25
10,5,5.95,3,2.45
25,11,10.7,3,3.45
29,8,11.75,6,3.65
28,7,9.7,8,3.35
43,11,14.15,5,3.4
5,3,3.9,3,1.95
13,6,7.05,3,2.65
25,16,10.45,2,3.45
11,6,6.65,4,2.6
26,14,10.65,4,3.45
10,6,6.4,3,2.55
19,9,8.85,4,3.05
49,15,16.15,5,3.65
22,8,9.5,4,3.15
23,13,9.9,3,3.15
14,6,7.85,3,2.7
32,11,12.2,4,3.4
51,15,14.15,5,3.65
8,6,5.2,3,2.25
37,12,12.95,3,3.5
30,15,11.6,4,3.1
10,5,5.85,5,2.6
28,8,11.65,5,3.35
16,6,8.2,6,2.7
36,14,12.65,3,3.45
27,8,10.4,6,3.45
14,5,7.05,4,2.8
21,15,9.45,3,3.15
21,7,9.95,3,3.2
14,7,7.45,3,3.0
62,13,17.75,4,3.95
32,11,11.35,4,3.5
48,11,14.7,5,3.95
10,5,6.5,3,2.55
37,16,11.65,3,3.9
5,4,4.25,2,1.7
23,10,10.3,5,3.15
23,8,10.0,4,3.05
36,10,12.8,4,3.65
17,7,8.1,6,2.8
33,16,12.75,3,3.4
22,15,10.45,3,3.1
25,10,10.0,5,3.45
20,8,8.8,3,3.15
17,11,8.95,3,2.95
5,4,4.0,2,1.95
13,8,7.5,4,2.9
9,7,5.3,2,2.35
11,6,6.75,2,2.55
52,17,17.45,3,3.8
6,4,4.6,3,2.1
14,6,8.05,4,2.8
24,9,10.45,4,3.55
19,10,8.95,5,3.0
11,9,6.7,3,2.75
20,5,9.55,6,3.15
29,12,11.85,4,3.2
39,15,14.45,3,3.4
53,17,15.8,4,3.9
31,11,12.0,4,3.25
23,10,9.7,3,3.45
26,11,10.8,5,3.35
26,9,10.45,3,3.65
29,12,12.0,6,3.35
12,5,6.4,3,2.8
40,11,13.5,3,3.55
27,13,11.8,3,3.15
13,7,6.45,4,3.0
8,2,5.1,7,2.4
30,9,11.55,4,3.4
30,10,11.85,5,3.4
20,12,9.45,3,3.1
24,9,10.75,3,3.25
9,6,6.05,2,2.5
19,6,9.0,4,3.15
33,11,11.65,3,3.75
39,15,12.85,3,3.8
49,24,15.15,4,3.55
28,11,10.25,3,3.55
19,11,9.25,2,3.15
17,7,8.55,4,3.05
18,8,8.75,3,3.1
13,4,7.15,5,3.1
13,6,7.2,3,2.7
7,3,4.8,4,2.35
28,12,11.15,7,3.2
13,6,7.25,6,3.0
30,14,12.5,3,3.35
14,9,8.05,2,3.0
18,9,8.0,3,3.4
41,14,13.65,4,3.55
22,10,9.65,3,3.05
10,4,5.9,5,2.7
22,11,9.5,3,3.15
23,11,8.55,3,3.65
18,8,9.5,3,2.65
9,5,5.8,2,2.2
23,11,10.0,3,3.1
9,4,6.2,3,2.35
9,6,5.3,3,2.5
19,12,10.1,4,3.0
20,5,8.95,5,3.25
27,10,10.55,3,3.15
36,17,12.55,4,3.4
18,11,8.25,3,3.2
17,6,8.5,4,2.85
9,7,5.7,2,2.3
16,6,8.3,4,2.9
16,10,8.8,4,2.75
17,9,8.7,3,2.95
26,11,11.7,3,3.5
4,2,3.4,3,1.6
19,9,8.85,2,3.1
36,16,12.8,3,3.6
8,4,5.55,3,2.25
36,19,13.5,3,3.65
29,13,11.5,3,3.4
20,12,9.45,3,3.1
12,5,6.45,5,2.85
22,7,9.65,4,3.05
27,11,10.65,4,3.4
26,8,11.45,9,3.4
56,18,17.0,3,4.0
14,8,7.55,2,2.9
49,12,15.5,6,3.7
22,9,10.15,3,3.25
14,8,7.35,2,2.85
42,18,14.55,4,3.85
21,11,9.65,3,3.2
10,7,5.95,2,2.45
24,9,9.95,4,3.35
22,10,9.4,3,3.25
9,7,6.2,3,2.3
26,11,10.9,4,3.25
37,20,13.65,2,3.75
9,5,5.85,3,2.4
16,6,8.25,3,2.7
31,8,11.95,5,3.6
13,7,7.3,3,2.8
30,11,11.75,3,3.1
10,5,5.95,3,2.5
30,10,12.5,4,3.2
25,11,11.15,3,3.3
12,5,6.5,6,2.8
91,21,21.05,3,3.8
15,6,7.4,3,2.8
14,8,7.5,3,2.85
27,14,10.75,4,3.35
13,6,7.25,3,2.6
13,6,7.7,4,2.7
9,5,5.85,3,2.3
10,4,5.9,5,2.7
25,14,10.15,3,3.55
6,4,4.4,3,2.3
17,13,8.3,4,3.1
46,21,14.8,3,3.8
19,8,8.95,3,2.95
21,11,9.25,3,3.45
21,10,9.75,3,3.4
8,5,5.2,2,2.45
9,5,5.7,3,2.55
33,10,12.85,5,3.45
19,8,9.25,4,3.0
29,17,11.6,3,3.4
29,9,10.8,5,3.35
8,5,5.05,2,2.4
38,13,14.4,5,3.8
25,8,10.65,5,3.3
18,9,8.55,3,3.05
30,14,11.4,5,3.7
18,9,8.45,5,3.2
35,11,12.0,5,3.9
22,5,9.35,9,3.3
12,7,6.5,2,2.75
23,8,9.55,5,3.3
23,8,9.85,4,3.35
21,15,9.95,2,3.0
13,9,7.4,3,2.8
51,17,16.65,3,3.7
16,10,8.95,3,3.05
20,11,9.55,3,3.2
7,6,5.0,2,2.2
22,7,10.1,4,3.0
14,11,8.55,2,2.6
9,6,5.75,2,2.45
33,13,12.9,4,3.5
9,7,5.7,2,2.25
14,8,8.0,3,2.65
64,19,17.95,5,3.9
13,9,6.95,3,2.9
14,6,7.2,6,2.8
9,6,5.4,3,2.55
32,13,10.95,4,3.3
38,10,12.7,3,3.55
34,19,12.8,3,3.6
22,6,10.4,6,3.1
30,8,12.9,3,3.1
41,13,13.9,4,3.7
22,10,8.85,8,3.2
25,16,10.25,3,3.4
39,9,13.8,7,3.75
30,11,10.9,3,3.65
5,2,3.85,4,1.9
37,9,12.6,4,3.6
8,3,5.35,4,2.45
10,6,5.85,4,2.55
21,11,9.65,3,3.1
5,4,3.8,2,1.8
40,16,13.5,3,3.75
10,3,5.75,7,2.8
26,15,11.4,4,3.25
63,19,18.2,5,3.85
14,8,7.15,3,2.7
22,11,9.45,3,3.35
8,5,5.0,3,2.55
46,15,14.5,4,3.6
35,12,13.1,3,3.45
8,5,4.8,3,2.55
16,7,7.9,3,2.75
3,2,2.6,2,1.4
5,3,4.1,3,1.8
17,8,9.25,3,3.25
15,10,7.5,3,3.0
44,13,15.1,3,3.55
29,9,11.15,4,3.65
7,6,4.85,2,2.2
34,14,12.6,3,3.4
16,10,7.95,3,3.05
13,7,6.75,3,2.8
9,4,5.8,4,2.65
14,8,6.8,3,2.85
35,17,12.4,3,3.6
23,7,11.15,5,2.95
26,10,10.1,4,3.05
26,9,10.55,4,3.3
49,14,15.3,5,3.7
42,16,15.5,5,3.7
10,7,6.15,3,2.65
52,23,15.45,3,4.05
31,12,11.65,3,3.85
18,9,8.6,3,3.5
17,7,7.85,3,3.15
35,9,13.35,5,3.45
18,8,9.0,4,2.85
15,8,7.4,3,2.75
24,11,10.55,3,3.0
25,11,10.7,3,3.35
8,4,5.2,3,2.25
21,10,9.2,3,3.3
36,13,12.3,4,3.45
5,3,4.05,3,1.85
16,5,7.25,4,2.95
29,11,12.1,5,3.25
30,12,11.5,4,3.35
13,9,7.15,2,2.75
21,14,9.45,3,3.05
31,13,12.8,3,3.45
37,16,14.45,3,3.35
24,11,10.15,3,3.05
19,12,8.75,2,3.15
15,7,8.1,4,3.2
19,14,8.5,2,3.35
49,13,14.85,5,3.8
10,6,5.85,4,2.55
25,7,11.55,7,3.05
46,12,16.05,12,3.45
42,15,14.4,3,3.45
11,5,7.05,3,2.65
16,7,8.75,4,3.0
16,6,7.85,4,3.6
35,15,12.65,3,3.35
18,5,8.6,6,2.85
5,3,3.75,3,2.05
30,10,11.45,3,3.6
16,8,8.7,3,2.85
67,19,17.4,5,3.6
14,4,7.85,7,2.7
13,6,7.1,3,2.7
9,7,5.7,2,2.5
54,15,16.3,4,3.9
16,6,7.9,4,3.05
36,13,10.95,5,3.6
12,7,6.95,3,2.55
19,11,8.55,3,3.3
34,14,12.2,3,3.45
11,6,5.95,3,2.55
22,9,9.9,3,3.2
37,17,13.65,3,3.4
17,8,8.4,3,2.8
38,10,14.25,4,3.55
26,9,10.95,5,3.05
11,6,6.3,3,2.65
22,9,9.05,3,3.35
55,12,17.95,6,3.8
12,5,6.8,5,2.7
10,3,6.45,5,2.5
45,12,14.8,6,3.9
15,11,7.0,2,3.1
23,12,9.95,3,3.5
24,9,9.85,4,3.5
13,8,7.1,4,2.9
29,11,10.95,4,3.15
16,6,9.2,4,3.1
42,16,13.3,3,3.6
9,8,5.65,2,2.6
31,13,11.65,4,3.25
57,15,16.3,6,3.9
69,16,18.75,5,3.9
28,11,11.65,3,3.35
42,17,14.15,3,3.7
29,12,11.25,5,3.65
53,13,15.55,3,4.0
15,7,7.8,4,3.05
27,13,12.0,3,3.3
18,11,8.4,2,2.95
39,14,13.3,3,3.65
35,19,12.7,4,3.2
37,15,13.25,4,3.6
10,6,6.0,3,2.45
27,13,11.0,3,3.25
40,13,12.95,5,3.5
35,9,12.4,5,3.55
16,9,8.4,2,2.9
57,20,17.1,4,3.8
34,19,12.2,3,3.45
21,8,9.15,4,3.1
54,18,17.0,4,3.75
42,21,14.15,4,3.55
15,9,7.35,3,3.0
4,2,3.45,3,1.55
73,21,20.65,6,3.8
56,21,15.8,4,3.75
8,5,5.45,2,2.25
6,3,4.3,3,2.25
11,9,6.2,2,2.75
10,6,5.9,3,2.55
16,9,8.4,2,3.05
14,10,7.55,4,2.75
28,13,10.95,3,3.2
21,8,9.7,5,3.05
15,8,8.2,2,2.75
20,5,10.15,8,2.8
21,13,9.45,3,3.3
30,13,11.5,3,3.45
16,12,8.2,3,2.45
19,9,8.45,3,3.05
35,12,13.45,5,3.15
4,3,3.05,2,1.95
42,12,13.5,4,3.65
18,10,8.6,3,2.8
22,9,9.85,3,3.05
18,8,8.75,4,3.0
9,8,6.0,2,2.3
39,16,13.4,4,3.6
28,17,10.75,4,3.35
6,3,4.05,3,2.25
15,12,7.7,2,2.7
36,11,13.6,4,3.55
21,14,9.8,2,3.05
22,10,9.55,3,3.25
28,8,11.9,8,3.45
26,10,10.25,7,3.55
24,8,10.0,3,3.25
43,14,13.15,5,3.95
21,10,9.25,3,3.15
18,9,7.85,3,3.1
27,12,11.95,3,3.3
28,5,11.85,16,3.4
52,11,14.95,25,4.0
24,11,9.35,3,3.1
32,9,11.35,4,3.4
12,6,6.7,4,2.4
33,11,12.25,5,3.45
18,6,9.0,4,3.1
41,12,13.2,5,3.85
30,7,11.8,8,3.4
3,2,2.65,2,1.35
29,12,11.5,3,3.55
24,11,10.2,4,3.1
5,4,3.6,2,2.1
14,10,7.9,4,2.7
27,10,10.7,3,3.25
10,4,5.95,3,2.7
4,3,3.4,2,1.6
18,8,9.05,5,3.15
34,16,11.85,3,3.55
29,12,11.4,8,3.45
6,4,4.4,2,2.15
20,10,9.05,5,3.3
35,15,13.25,5,3.3
33,16,12.4,3,3.25
25,7,10.55,3,3.2
10,6,6.15,3,2.65
12,6,6.65,4,2.65
52,14,16.2,4,3.95
13,5,7.1,3,2.85
46,22,15.7,6,3.9
21,9,8.75,4,3.55
13,9,6.95,3,2.8
31,8,11.55,3,3.4
12,7,5.95,2,2.75
30,12,12.1,4,3.45
17,5,9.0,6,2.75
17,10,8.4,3,3.0
32,16,11.4,3,3.45
24,9,9.8,4,3.35
17,5,8.65,5,2.75
8,5,5.15,2,2.3
9,4,5.65,5,2.4
20,13,8.75,4,3.2
31,19,12.65,5,3.3
7,4,5.05,3,2.3
44,12,13.35,5,3.65
34,14,12.2,4,3.55
29,9,11.85,3,3.3
40,12,13.5,4,3.7
59,18,19.05,5,3.6
12,7,6.65,4,2.8
43,14,14.75,4,3.7
8,7,4.9,2,2.65
9,4,5.8,4,2.45
10,6,6.3,4,2.7
30,12,12.05,4,3.65
6,4,4.45,3,2.05
29,8,12.2,5,3.1
20,10,9.05,3,3.2
22,12,9.25,3,3.05
31,11,11.95,3,3.4
11,5,6.3,3,2.75
9,4,5.05,3,2.75
20,11,9.75,3,3.25
21,9,9.95,3,3.45
6,3,4.2,3,2.15
4,3,3.45,2,1.55
11,6,6.5,3,2.45
18,5,9.4,7,3.05
30,11,10.9,3,3.55
9,3,5.45,4,2.4
44,11,14.7,4,3.6
5,4,3.8,2,1.95
29,13,10.8,3,3.9
26,6,10.7,6,3.05
25,13,11.1,5,3.5
44,11,15.5,4,3.35
25,9,10.8,3,3.25
9,5,5.4,3,2.65
39,12,14.75,6,3.4
11,4,6.4,4,2.55
30,14,12.1,4,3.3
34,18,13.35,3,3.35
12,7,7.3,3,2.8
21,8,8.75,3,3.15
19,8,8.05,5,3.2
35,10,12.55,3,3.3
11,8,6.3,4,2.6
25,9,10.55,7,3.5
25,8,10.5,6,3.15
39,12,14.25,5,3.5
14,6,7.9,3,2.45
27,10,11.15,4,3.4
11,7,6.8,3,2.65
49,19,15.55,6,3.85
30,22,11.65,2,3.5
28,16,11.8,2,3.4
25,8,10.45,5,3.35
11,6,6.6,5,2.7
34,13,12.85,3,3.4
27,9,11.25,4,3.35
29,16,12.3,3,3.15
22,8,9.1,7,3.5
6,4,3.95,3,2.45
45,12,15.05,4,3.65
11,4,6.7,4,2.85
15,9,8.05,3,2.7
36,8,12.7,5,3.75
20,10,9.1,3,3.1
19,7,9.0,3,2.75
42,11,13.65,5,3.5
14,6,7.1,5,3.0
12,8,6.45,4,2.7
104,26,25.15,3,4.0
26,13,12.35,3,3.15
22,13,10.15,4,3.15
23,9,9.6,4,3.25
10,6,6.25,2,2.8
7,5,4.7,3,2.35
21,13,9.75,2,2.9
28,6,10.5,9,3.5
12,8,6.8,2,2.8
33,11,13.3,4,3.7
6,4,4.7,2,1.9
25,12,10.65,3,3.25
23,9,9.85,5,2.85
56,13,15.45,3,4.25
18,9,8.3,3,3.0
66,16,20.05,3,3.95
29,7,11.5,5,3.25
39,11,13.85,8,3.65
25,11,9.6,4,3.35
47,21,15.15,3,3.9
18,10,9.3,2,3.1
40,14,13.3,3,3.65
21,9,10.55,3,3.4
13,8,7.45,2,2.9
9,4,5.85,4,2.5
4,2,3.3,3,1.7
42,9,14.25,4,3.85
6,2,4.4,5,2.2
77,25,20.0,5,4.0
19,6,9.0,4,3.25
15,7,7.9,3,3.0
30,12,11.6,4,3.45
46,22,15.6,3,3.9
55,12,15.65,5,3.8
12,6,6.8,3,2.75
19,7,8.9,3,3.35
44,10,14.65,4,3.7
26,11,10.55,4,3.2
6,4,4.6,2,1.85
24,13,9.95,3,3.2
48,14,15.9,4,3.8
31,14,12.7,3,3.6
14,9,7.8,3,2.65
15,10,8.2,3,2.85
19,7,9.3,3,2.95
4,3,3.15,2,1.85
8,5,5.15,3,2.25
27,10,10.85,4,3.35
23,9,8.95,3,3.4
20,11,8.8,3,3.2
11,6,6.55,3,2.6
12,8,6.9,2,2.75
19,11,8.95,3,3.0
12,7,6.55,3,2.8
11,5,6.2,6,2.6
8,2,4.95,7,2.55
56,18,16.7,3,3.8
39,12,14.6,6,3.45
23,9,9.35,3,3.6
11,5,6.7,3,2.6
28,7,11.6,4,3.25
4,3,3.15,2,1.85
33,10,11.95,3,4.0
45,12,14.15,6,3.65
27,10,10.3,6,3.45
26,8,10.7,4,3.35
12,6,6.7,3,2.6
30,7,11.55,5,3.4
14,9,6.85,4,3.25
33,11,12.35,8,3.85
20,10,9.05,3,2.95
15,5,8.05,8,2.8
11,7,6.2,3,3.0
28,13,11.4,5,3.25
20,9,9.05,3,3.25
12,8,6.75,2,2.55
30,11,11.1,3,3.3
42,16,15.0,4,3.55
11,5,6.45,3,2.7
20,12,8.7,3,3.2
62,18,17.15,3,4.05
9,4,5.7,4,2.4
32,7,11.95,6,3.3
42,13,13.75,4,3.9
27,11,11.75,3,3.2
12,7,7.0,3,2.75
8,5,5.5,3,2.4
4,2,3.2,3,1.8
14,6,8.05,3,2.6
31,11,12.3,3,3.35
23,10,10.1,4,3.6
23,10,10.35,3,3.35
45,14,14.7,6,3.6
11,7,6.35,2,2.65
46,11,13.9,7,3.65
37,13,13.15,6,3.65
28,13,10.95,3,3.35
15,4,7.75,6,2.95
7,5,5.05,2,2.15
14,7,7.8,4,2.8
24,7,9.85,4,3.0
18,13,8.3,3,3.2
21,12,8.85,3,3.45
23,13,9.25,4,3.35
53,17,17.05,4,3.8
8,3,5.2,6,2.3
20,9,9.0,3,3.3
5,3,3.95,3,1.85
9,7,6.3,2,2.3
29,10,12.1,4,3.3
4,2,3.4,3,1.6
18,9,9.1,3,2.75
36,15,12.1,3,3.85
36,12,13.25,3,3.45
17,11,8.0,3,3.0
26,12,10.45,3,3.05
35,13,13.0,5,3.7
10,5,6.45,3,2.25
20,10,8.8,4,3.15
8,5,5.1,4,2.5
9,6,5.75,4,2.65
16,12,8.1,3,2.8
6,5,4.4,2,2.15
26,9,10.45,3,3.4
14,7,7.75,3,3.05
36,10,13.45,4,3.6
15,5,7.95,4,2.85
25,8,10.65,5,3.0
46,14,15.45,4,3.75
54,14,16.3,4,3.6
50,21,16.4,4,3.9
22,10,10.1,3,3.25
16,8,8.8,4,2.85
16,9,7.95,3,2.75
37,9,12.55,6,3.8
18,10,8.7,3,2.8
24,8,10.15,4,3.35
44,16,13.1,3,4.05
29,10,11.65,4,3.4
17,7,8.45,2,3.25
6,4,4.35,3,2.15
52,10,14.6,4,4.0
17,7,8.1,4,3.1
26,12,10.25,5,3.3
29,11,12.6,4,3.3
33,12,11.95,4,3.35
48,12,14.85,4,3.6
6,4,4.45,3,2.1
9,5,5.65,3,2.45
39,12,14.6,4,3.65
19,9,8.8,4,3.15
15,5,7.6,7,2.9
31,19,11.45,3,3.45
25,10,10.7,6,3.25
7,3,4.7,4,2.35
40,14,14.15,4,3.65
12,6,6.9,3,2.7
19,7,9.2,4,3.1
20,9,8.9,4,3.1
45,15,15.8,4,3.55
4,3,3.3,2,1.7
15,7,8.05,3,2.95
21,9,9.3,4,3.3
25,13,10.55,3,3.4
29,11,12.5,3,3.4
7,3,4.85,4,2.35
27,10,10.7,4,3.4
17,8,7.7,3,3.15
19,8,9.65,3,2.85
22,9,9.4,3,3.4
51,14,15.1,4,4.15
9,6,5.65,3,2.55
4,2,3.3,3,1.7
31,13,12.15,3,3.45
42,17,14.05,4,4.1
40,13,14.05,4,3.8
23,12,9.8,5,3.3
14,9,8.05,2,2.8
17,8,7.9,3,3.4
8,7,5.3,2,2.3
30,6,11.45,5,3.45
39,17,13.15,3,3.55
16,10,7.9,3,2.65
21,12,9.4,4,3.2
26,9,10.65,5,3.1
66,17,18.85,5,4.0
53,14,15.7,5,3.9
64,15,18.25,6,3.8
23,8,10.05,4,3.05
33,10,13.15,7,3.35
12,6,6.1,2,2.95
35,12,13.4,5,3.3
16,6,7.35,4,3.25
21,8,9.5,5,3.35
8,4,5.4,3,2.4
31,14,12.2,3,3.25
28,11,10.8,4,3.35
14,9,7.5,3,2.7
27,13,11.85,4,3.15
19,9,9.45,4,3.15
25,11,10.6,4,3.1
15,8,8.2,3,2.9
51,16,15.3,4,3.8
27,12,11.15,3,3.25
39,12,13.4,4,3.45
20,11,8.5,3,3.25
23,11,9.65,4,3.25
29,14,12.15,3,3.5
38,12,13.1,5,3.65
31,11,11.9,3,3.45
19,7,8.75,4,3.25
14,7,7.0,3,2.8
61,14,16.05,4,4.2
10,7,6.2,3,2.5
