length,real_depth,random_depth,real_max_arity,random_max_arity
29,9,11.4,6,3.35
18,7,8.5,5,3.2
17,9,8.3,3,2.8
16,10,7.65,3,2.8
36,9,13.15,5,3.8
13,8,7.8,3,2.75
13,7,7.1,3,2.8
16,7,8.25,3,2.85
35,11,11.0,6,3.4
20,8,9.25,5,2.95
19,6,8.85,5,3.35
29,10,12.15,3,3.3
19,6,9.0,4,2.85
17,6,9.3,5,2.7
27,11,11.05,4,3.4
26,13,11.1,4,3.45
27,8,10.15,4,3.6
11,4,6.6,5,2.55
20,8,9.4,5,3.15
9,5,5.4,4,2.6
15,7,7.8,3,3.05
16,7,8.85,4,2.65
17,8,8.4,3,2.95
40,9,13.45,6,4.0
49,13,15.2,8,3.75
51,19,14.95,5,3.75
13,6,7.2,3,2.8
10,4,5.8,3,2.6
9,5,5.75,5,2.6
30,10,12.25,4,3.45
20,11,8.9,7,3.1
26,9,10.75,5,3.25
28,8,10.95,4,3.55
16,8,8.5,4,2.85
13,7,7.4,4,2.35
12,6,6.65,4,2.7
19,6,8.85,6,2.65
26,10,10.85,5,3.4
14,6,7.85,3,2.65
7,3,4.45,4,2.4
17,5,7.95,7,3.1
21,7,9.6,7,3.25
13,6,6.95,3,2.95
22,7,9.8,6,3.45
15,7,7.4,4,2.85
46,8,14.25,7,3.65
27,9,10.85,5,3.45
28,9,11.55,6,3.7
60,14,18.4,6,3.8
20,10,9.7,5,3.1
34,11,12.05,6,3.5
66,12,19.8,5,3.8
31,7,11.55,7,3.6
67,11,18.1,7,4.1
4,2,3.25,3,1.75
48,13,15.4,6,3.9
19,8,9.25,5,3.1
29,6,11.6,6,3.65
37,7,13.95,6,3.55
42,12,14.4,6,3.7
44,11,13.65,4,3.5
13,5,7.2,3,2.6
11,5,6.15,3,2.45
70,14,19.5,4,4.0
76,16,20.35,5,3.95
23,9,11.0,3,3.2
39,15,12.85,6,3.6
11,5,6.65,4,2.7
13,6,7.35,4,2.6
16,9,8.35,4,2.75
47,11,14.8,6,3.75
24,8,9.55,4,3.2
42,10,14.9,4,3.55
38,15,12.65,7,3.4
6,3,4.35,3,2.2
50,9,16.3,6,3.45
33,9,12.6,4,3.1
25,6,10.35,7,3.3
5,3,3.75,3,2.0
33,7,11.75,7,3.65
32,9,12.7,5,3.75
60,14,17.3,4,4.1
24,12,10.35,5,3.3
9,6,6.0,3,2.6
19,8,8.45,4,2.95
9,6,5.75,3,2.4
12,5,6.85,3,2.6
17,6,7.85,4,3.15
4,3,3.35,2,1.65
19,8,9.5,4,3.05
48,9,15.55,7,3.75
14,7,7.1,4,2.85
5,2,3.6,4,2.3
32,11,11.3,5,3.4
19,8,9.55,3,3.0
26,7,11.2,4,3.2
23,7,10.3,6,3.05
26,8,10.85,5,3.2
24,8,10.35,4,3.35
7,3,4.85,5,2.25
16,11,8.25,3,2.85
33,9,11.8,5,3.8
40,11,12.85,5,3.6
9,5,5.25,3,2.85
42,11,14.45,6,3.95
19,11,8.75,3,3.1
39,12,14.65,7,3.65
36,8,14.4,5,3.5
34,11,11.7,4,3.45
34,9,11.7,5,3.4
20,8,9.0,4,3.3
15,7,7.35,5,3.0
18,7,8.85,6,3.1
18,8,8.9,3,3.3
39,11,13.3,6,3.8
37,11,12.25,7,3.6
23,7,9.6,6,3.3
26,12,11.35,3,3.5
21,6,8.4,5,3.6
24,9,9.25,4,3.3
21,9,9.9,3,3.1
15,6,7.1,5,3.0
7,5,4.65,3,2.5
44,14,14.65,6,3.85
49,17,15.65,4,3.85
24,7,9.95,5,3.3
17,6,8.1,6,3.2
22,8,9.75,6,3.25
32,9,12.0,5,3.45
17,3,7.7,8,3.15
22,8,10.0,6,3.4
27,11,10.55,4,3.4
12,4,6.6,4,2.95
25,14,10.3,5,3.65
30,9,11.65,5,3.55
50,11,14.8,5,3.4
16,8,8.85,4,2.8
35,8,13.1,5,3.85
11,5,6.45,4,2.7
10,5,6.6,3,2.55
4,2,3.0,3,2.0
11,5,6.2,4,2.8
5,3,4.05,2,1.9
42,10,14.75,5,3.75
33,11,12.35,4,3.55
16,10,8.1,4,2.75
32,11,11.7,5,3.4
7,4,4.6,4,2.4
14,8,7.1,5,2.75
18,9,8.6,4,2.8
14,5,7.05,7,2.8
22,8,9.7,9,3.15
36,8,13.4,9,3.6
24,8,10.95,5,3.35
18,9,9.2,4,3.15
34,11,12.9,6,3.6
38,10,13.25,8,3.55
11,5,6.25,4,2.85
29,10,11.45,6,3.25
66,14,19.0,9,4.05
39,11,14.35,7,3.65
16,7,7.4,4,3.0
18,8,8.35,5,3.25
22,8,9.55,7,3.2
16,5,8.55,8,2.75
34,12,13.0,6,3.35
15,10,7.3,5,2.95
18,6,8.95,4,3.15
39,9,13.7,6,3.35
20,9,9.15,3,3.1
26,8,10.85,5,3.3
18,8,8.35,4,3.2
