length,real_depth,random_depth,real_max_arity,random_max_arity
34,8,13.05,6,3.35
34,11,12.05,5,3.55
19,7,8.65,4,2.95
8,4,5.65,4,2.5
15,6,8.4,4,2.7
37,11,13.15,4,3.45
8,5,5.3,3,2.35
16,5,8.05,4,2.95
19,8,8.35,4,3.3
35,7,13.0,6,3.4
16,6,8.2,4,2.85
17,5,8.85,5,3.1
8,4,4.7,3,2.7
18,5,8.2,5,3.05
9,5,5.5,3,2.35
18,8,8.3,4,3.1
11,4,6.25,4,2.8
13,4,6.9,4,3.05
17,6,8.4,4,3.0
15,6,7.55,4,3.1
14,4,7.7,6,2.85
19,7,9.05,5,3.15
14,6,7.5,6,2.8
12,4,6.7,4,2.65
4,2,3.2,3,1.8
17,7,7.95,4,3.05
8,4,5.35,3,2.5
6,3,4.15,3,2.1
14,7,7.8,3,2.75
7,3,4.7,4,2.3
28,10,12.2,4,3.4
7,3,4.85,5,2.2
15,7,7.7,5,2.9
8,5,5.6,4,2.05
19,4,9.05,6,3.05
26,9,10.5,4,3.55
13,6,7.3,4,3.0
46,9,15.2,5,3.45
23,9,9.6,5,3.25
33,10,12.0,5,3.3
14,6,7.0,3,3.1
13,4,7.1,5,2.95
10,4,6.05,4,2.3
5,3,3.6,3,2.05
17,5,8.45,5,3.0
7,4,4.75,4,2.6
5,3,4.0,3,1.9
3,2,2.6,2,1.4
16,6,8.05,4,2.8
7,3,4.85,4,2.35
46,11,14.85,4,3.45
17,4,8.05,6,3.25
21,7,8.95,4,3.15
18,8,8.5,4,3.15
16,7,8.2,4,3.1
40,8,14.0,5,3.45
9,4,5.8,4,2.55
27,5,10.7,6,3.2
14,5,7.75,4,3.0
9,4,5.8,4,2.55
15,7,8.15,3,3.0
18,5,8.9,6,3.05
14,4,7.7,7,2.8
31,9,12.15,7,3.5
30,11,12.1,4,3.65
19,6,8.6,3,3.2
12,4,6.4,5,3.1
18,5,8.8,5,2.9
7,3,4.55,5,2.45
17,6,8.5,4,2.85
18,5,8.25,7,3.2
7,3,5.05,5,2.2
3,2,2.6,2,1.4
5,2,3.75,4,2.1
11,4,5.95,5,2.85
13,4,7.1,6,2.75
7,3,5.55,4,2.0
3,2,2.6,2,1.4
11,8,6.55,3,2.75
8,4,4.85,3,2.5
17,6,8.0,5,3.2
17,4,8.25,7,2.85
13,5,7.5,5,2.45
6,3,4.35,4,2.2
9,4,5.9,4,2.55
6,4,4.45,3,2.1
12,3,6.65,7,2.7
4,2,3.5,3,1.5
5,3,3.45,3,2.15
16,6,8.0,5,2.7
13,5,7.65,4,2.7
23,6,10.45,7,3.0
8,3,5.1,5,2.35
14,4,7.5,5,2.7
28,6,10.55,5,3.45
5,3,4.0,3,1.85
11,4,6.3,5,2.75
8,3,5.05,4,2.55
4,2,3.25,3,1.75
10,5,6.15,5,2.7
11,5,7.0,3,2.65
12,5,6.75,4,2.75
8,4,5.55,3,2.25
8,4,5.2,4,2.45
12,4,6.5,5,2.8
10,4,5.85,3,2.5
6,4,4.55,3,2.05
5,2,3.8,4,1.95
5,4,3.75,2,1.95
10,3,5.75,5,2.7
6,3,4.55,4,1.95
3,2,2.45,2,1.55
9,4,5.5,4,2.35
7,3,4.8,4,2.15
6,3,4.3,4,2.2
6,3,4.0,3,2.35
5,3,3.85,2,1.95
7,3,4.85,3,2.35
8,3,5.65,4,2.3
6,2,4.15,5,2.15
4,3,3.35,2,1.65
7,4,4.75,3,2.4
3,2,2.65,2,1.35
11,3,6.4,7,2.65
13,5,7.6,3,2.8
9,3,5.1,6,2.9
11,3,6.4,5,2.65
5,3,3.75,3,2.1
9,4,4.85,6,2.65
3,2,2.6,2,1.4
5,3,4.1,3,1.75
7,3,4.4,4,2.45
6,3,4.25,4,2.0
6,4,4.55,3,2.05
5,3,4.0,3,1.9
16,7,8.6,7,2.7
6,3,4.4,4,2.0
5,2,3.75,4,1.95
8,4,5.5,3,2.45
13,4,7.45,7,2.65
5,3,3.6,3,2.15
8,4,5.55,4,2.5
4,2,3.25,3,1.75
5,3,3.85,3,1.9
8,3,5.35,5,2.25
4,2,3.35,3,1.65
4,3,3.5,2,1.5
8,3,4.85,5,2.65
15,4,7.6,5,2.8
23,7,10.25,5,2.95
6,3,4.75,4,1.9
19,7,9.2,4,2.85
8,3,5.2,5,2.35
16,7,7.35,6,3.3
7,3,4.85,4,2.25
6,3,4.75,3,1.85
5,2,3.75,4,2.0
16,7,8.0,4,3.15
11,4,6.45,5,2.75
14,4,7.65,5,2.7
8,3,4.95,4,2.55
5,2,3.9,4,1.95
6,3,4.5,3,2.0
10,5,6.35,4,2.55
10,4,6.05,5,2.35
9,4,5.45,4,2.55
19,9,9.15,4,3.15
22,6,9.1,7,3.55
15,3,8.0,8,2.95
14,4,7.2,6,3.0
6,3,4.4,4,2.15
17,5,8.5,5,3.0
4,2,3.35,3,1.65
20,4,8.95,5,3.25
6,3,4.3,4,2.3
6,4,4.2,3,2.15
5,2,3.9,4,1.95
4,2,3.2,3,1.8
5,2,3.75,4,1.95
12,4,6.3,5,3.0
17,4,8.4,6,2.8
11,5,6.0,5,2.7
8,4,5.25,4,2.35
3,2,2.65,2,1.35
16,4,8.6,6,3.05
9,3,5.45,5,2.85
