length,real_depth,random_depth,real_max_arity,random_max_arity
29,13,10.8,6,3.6
59,14,16.05,7,4.0
89,13,20.25,5,4.1
20,7,9.75,5,3.05
13,5,7.2,3,2.7
12,5,6.85,3,2.8
33,15,13.85,5,3.5
23,10,10.55,5,3.05
19,8,8.95,3,3.1
17,8,8.35,3,3.25
69,19,18.45,4,3.9
30,10,11.55,3,3.55
29,9,11.6,5,3.3
18,6,8.6,5,3.0
10,5,6.45,3,2.55
13,5,7.0,3,2.6
28,7,11.3,5,3.15
12,6,6.6,2,2.75
49,19,15.45,4,3.65
28,14,10.95,3,3.6
4,3,3.25,2,1.75
43,14,14.25,5,3.9
28,11,11.7,4,3.1
21,8,8.75,4,3.05
16,6,8.3,3,3.2
27,7,11.2,5,3.45
12,4,6.45,4,2.75
29,9,11.95,4,3.45
10,5,5.8,4,2.8
65,11,17.6,5,4.1
45,16,14.85,5,3.9
28,11,10.65,4,3.55
8,3,5.35,3,2.3
45,16,15.05,6,3.85
36,10,13.35,5,3.4
66,20,17.5,3,3.85
43,11,13.9,5,3.7
65,13,17.45,7,3.95
44,11,14.2,5,3.6
31,9,11.75,5,3.45
13,6,8.0,3,2.45
77,24,19.55,4,4.15
13,9,7.0,4,2.75
20,6,9.65,5,3.05
14,4,7.5,5,2.9
27,10,10.95,4,3.25
20,8,9.55,4,3.05
50,9,15.7,5,3.85
16,6,8.2,2,3.15
22,9,10.15,3,3.15
32,10,11.85,4,3.6
21,9,9.45,4,3.1
23,8,9.9,3,3.15
16,5,7.75,3,2.95
40,10,13.05,3,3.4
16,5,8.15,4,2.95
11,6,6.5,3,2.4
42,15,12.6,5,3.8
30,10,11.7,3,3.15
12,6,6.4,4,2.75
14,8,7.35,3,2.95
32,11,12.6,4,3.6
33,11,11.5,4,3.4
34,10,11.55,5,3.55
26,14,10.95,4,3.35
27,10,10.8,4,3.35
23,11,9.85,3,3.25
18,7,8.95,7,3.0
18,9,8.25,4,3.1
22,9,9.0,4,3.15
28,9,11.5,4,3.7
55,11,15.55,6,4.0
28,9,11.1,5,3.75
44,12,14.25,5,3.65
48,17,15.3,5,3.95
69,10,18.45,6,3.8
26,8,9.75,5,3.2
10,5,6.15,3,2.5
16,7,8.2,4,2.8
19,9,9.75,3,2.95
15,10,7.5,4,3.0
9,4,6.25,3,2.5
54,13,18.45,5,3.25
68,10,19.45,4,3.85
9,4,5.9,3,2.6
50,10,16.05,4,3.55
31,11,11.8,4,3.5
15,7,7.8,3,2.85
22,9,10.1,4,3.2
40,11,14.8,5,3.6
29,7,11.35,4,3.5
11,5,6.3,4,2.65
9,4,5.2,4,2.8
53,12,15.7,4,3.9
8,5,5.75,3,2.25
33,12,12.2,4,3.65
43,14,15.25,4,3.75
33,10,12.05,4,3.35
19,5,8.95,4,3.0
11,5,6.75,4,2.5
13,6,7.35,4,2.65
31,6,12.45,6,3.15
20,7,9.2,3,3.0
22,8,9.45,4,3.65
37,7,13.15,6,3.5
50,12,15.6,6,3.6
34,10,12.15,4,3.4
16,8,8.1,4,2.85
27,7,10.5,5,3.35
15,7,7.95,4,3.0
24,10,9.75,4,3.05
14,8,7.2,3,2.85
25,10,10.75,5,3.45
28,8,10.95,8,3.4
36,8,12.45,6,3.6
28,10,11.45,4,3.15
41,11,13.15,4,3.65
14,6,7.25,2,2.8
31,14,12.0,5,3.3
23,8,9.6,4,3.2
32,9,12.15,4,3.6
34,8,12.75,6,3.65
24,6,10.0,4,3.4
36,7,13.75,8,3.55
35,8,12.85,5,3.6
7,3,4.85,5,2.4
36,14,13.35,5,3.45
37,10,12.5,6,3.6
19,11,8.2,4,3.4
25,6,10.0,4,3.35
46,13,14.8,4,3.55
40,11,14.05,5,3.7
21,7,9.75,4,3.0
47,9,15.6,6,3.55
42,8,13.45,6,3.95
25,7,10.75,5,3.0
24,10,10.6,4,3.45
13,8,7.2,3,2.85
8,5,4.7,4,2.55
28,11,10.9,5,3.25
14,6,7.5,4,2.9
38,16,13.15,4,3.4
37,11,13.25,4,3.45
13,4,7.25,7,2.85
20,6,9.45,6,3.2
40,17,13.55,4,3.6
18,7,9.15,4,2.8
14,6,7.85,3,2.95
30,7,12.05,5,3.3
49,12,15.55,7,3.6
31,8,11.6,5,3.45
7,4,4.9,3,2.25
15,8,7.7,3,2.85
57,17,15.9,4,4.25
24,8,9.8,3,3.25
9,7,5.5,3,2.4
11,5,6.55,3,2.65
64,13,17.05,5,4.05
22,9,9.15,7,3.5
11,5,6.5,3,2.45
10,7,6.05,3,2.35
48,9,14.7,5,3.65
31,8,13.55,4,3.5
37,12,12.55,4,3.25
30,10,11.05,4,3.55
31,12,12.2,3,3.35
42,7,14.25,5,3.55
39,8,13.35,5,3.65
45,10,14.4,5,3.75
18,11,8.5,3,3.0
22,8,9.15,5,3.25
16,8,8.5,4,2.7
104,15,21.2,6,4.4
24,8,9.25,7,3.25
19,7,8.5,3,3.1
27,8,10.4,4,3.35
16,6,8.05,4,3.1
26,10,11.4,4,3.1
38,8,13.35,7,3.8
29,9,12.35,5,3.35
14,6,7.05,4,3.05
8,5,5.2,3,2.45
8,5,5.2,2,2.5
22,6,10.15,5,3.35
22,9,9.3,3,3.35
34,10,13.6,5,3.35
35,7,12.7,6,3.7
45,7,13.95,6,3.65
31,9,11.55,5,3.6
10,4,6.05,3,2.55
11,5,6.25,4,2.75
20,6,8.85,5,3.05
30,7,11.7,5,3.6
55,10,16.1,4,3.6
25,7,10.05,6,3.15
55,18,16.6,5,3.7
20,6,9.25,5,2.9
26,6,11.3,5,3.15
36,10,13.3,4,3.7
44,20,15.15,3,3.65
32,11,12.0,4,3.45
24,6,10.6,5,3.5
20,8,9.4,4,3.1
29,10,11.6,5,3.25
39,9,12.0,5,3.8
24,11,9.6,3,3.1
23,7,9.15,7,3.35
14,8,7.75,3,2.7
18,7,9.25,4,3.25
29,9,10.65,4,3.6
29,9,11.15,4,3.35
20,12,9.05,4,3.1
24,12,9.75,3,3.4
21,8,10.5,4,3.05
23,7,9.4,3,3.15
17,5,8.3,4,3.1
25,7,9.4,5,3.75
26,10,10.85,3,3.25
26,9,10.2,5,3.3
98,22,21.85,5,3.95
28,11,11.25,4,3.55
11,6,6.9,4,2.55
27,7,10.65,5,3.6
11,7,6.05,3,2.75
45,18,15.2,5,3.6
65,11,18.0,5,4.1
64,25,17.6,3,3.95
24,12,10.45,3,3.55
26,10,10.9,4,3.65
9,5,6.15,3,2.3
7,4,4.8,3,2.5
56,10,15.55,5,3.95
75,10,20.3,7,4.0
8,4,5.2,4,2.35
32,6,12.5,6,3.25
42,13,12.4,3,3.7
10,5,6.25,3,2.65
49,10,15.85,5,3.95
21,8,9.25,4,2.95
64,15,15.75,6,4.25
21,8,10.1,4,3.3
54,10,16.55,5,3.95
16,5,8.6,6,2.85
16,9,8.8,3,2.7
11,5,6.2,4,2.85
35,9,12.35,7,3.5
73,17,20.2,5,3.85
38,9,14.35,5,3.35
51,12,15.75,6,3.95
21,7,9.35,4,3.05
40,9,13.45,5,3.65
21,8,9.75,5,3.2
5,2,4.0,4,1.9
32,11,12.15,4,3.6
7,3,4.7,5,2.3
22,6,9.85,6,3.3
13,7,7.2,3,2.95
19,7,8.85,4,2.95
7,6,4.75,2,2.3
40,12,13.9,6,3.75
18,5,8.4,4,3.0
35,11,12.75,6,3.4
20,8,9.35,3,3.1
14,8,7.85,3,2.75
48,12,14.9,4,3.65
19,7,8.95,3,3.05
40,12,13.0,5,3.7
34,12,12.25,4,3.8
17,5,7.7,6,3.2
32,7,12.7,7,4.1
22,7,9.45,6,3.3
35,10,12.45,6,3.4
6,3,4.2,3,2.2
31,7,12.0,7,3.5
33,11,12.05,4,3.65
19,8,8.85,4,3.1
15,8,8.15,3,2.85
16,10,8.1,3,2.95
30,6,11.95,4,3.35
16,4,7.7,5,2.95
20,9,9.3,3,3.2
38,12,13.1,5,3.5
23,6,9.8,5,3.5
30,8,11.95,4,3.45
23,9,10.6,4,3.2
44,7,14.85,5,3.95
45,19,14.6,4,3.65
16,7,7.75,4,3.15
71,16,18.15,4,4.1
41,12,13.75,5,3.65
15,9,7.95,3,3.0
14,6,8.2,4,2.5
33,11,11.9,4,3.7
11,6,6.55,5,2.45
23,7,10.65,5,3.05
32,9,11.0,7,3.75
48,19,15.75,3,3.85
24,6,10.7,4,3.25
11,4,6.3,4,2.65
58,11,15.75,5,4.2
13,6,6.85,4,2.85
24,8,10.35,3,3.25
15,7,8.25,3,2.9
55,14,15.95,6,3.9
41,8,14.8,4,3.65
31,9,12.25,4,3.55
47,10,15.7,5,3.65
6,4,4.75,2,2.0
47,11,13.15,6,3.6
30,8,11.4,6,3.5
20,7,8.4,5,3.1
18,7,8.45,4,3.3
21,11,9.65,3,3.1
31,9,11.25,5,3.5
44,8,15.2,5,3.6
18,9,8.8,3,3.05
16,6,8.45,3,2.95
14,7,7.9,3,2.8
19,5,9.6,5,3.05
10,7,6.45,2,2.35
7,4,4.75,3,2.4
12,5,6.65,4,2.85
31,12,11.35,5,3.65
22,7,10.05,4,2.95
17,5,8.35,4,3.1
22,8,9.45,4,3.1
